Singapore;Singapore;singapore;singapore;5076700;singapore0;1.28967;103.85007;1;161
Skopje;North Macedonia;skopje;skopje;491000;skopje0;42;21.43333;1;162
Sofia;Bulgaria;sofia;sofia;1202761;sofia0;42.69751;23.32415;1;163
Sri J Kotte;Sri Lanka;sri;colombo;126872;sri0;6.91;79.89;1;164
St Georges;Grenada;st_georges;saint_georges;2982;st_georges0;12.05;-61.75;1;165
St Johns;Antigua and Barbuda;st_johns;saint_johns;106172;st_johns0;17.12;-61.85;1;166
Stockholm;Sweden;stockholm;stockholm;847073;stockholm0;59.33258;18.0649;1;167
Suva;Fiji;suva;suva;74481;suva0;-18.14161;178.44149;1;168
Taipei;Taiwan;taipei;taipei;2618772;taipei0;25.04776;121.53185;1;169
Tallinn;Estonia;tallinn;tallinn;400292;tallinn0;59.43696;24.75353;1;170
Tarawa;Kiribati;tarawa;tarawa;0;tarawa0;1.42;173.03;1;171
Tashkent;Uzbekistan;tashkent;tashkent;2194272;tashkent0;41.26465;69.21627;1;172
Tbilisi;Georgia;tbilisi;tbilisi;1122300;tbilisi0;41.69411;44.83368;1;173
Tegucigalpa;Honduras;tegucigalpa;tegucigalpa;1126534;tegucigalpa0;14.0818;-87.20681;1;174
Tehran;Iran;tehran;tehran;7797520;tehran0;35.69439;51.42151;1;175
Thimphu;Bhutan;thimphu;thimphu;79185;thimphu0;27.4833333;89.6;1;176
Tirana;Albania;tirana;tirane;418495;tirana0;41.3275;19.81889;1;177
Tokyo;Japan;tokyo;tokyo;8949447;tokyo0;35.61488;139.5813;1;178
Tripoli;Libya;tripoli;tripoli;1025244;tripoli0;32.9;13.19;1;179
Tunis;Tunisia;tunis;tunis;728453;tunis0;36.81897;10.16579;1;180
Ulaanbaatar;Mongolia;ulaanbaatar;ulanbator;760077;ulaanbaatar0;47.90771;106.88324;1;181
Vaduz;Liechtenstein;vaduz;vaduz;5372;vaduz0;47.14;9.52;1;182
Valletta;Malta;valletta;valletta;5748;valletta0;35.9;14.51;1;183
Vatican City;Vatican City;vatican;vatican;803;vatican0;41.9;12.45;1;184
Victoria;Seychelles;victoria;victoria;26450;victoria0;-4.62;55.45;1;185
Vienna;Austria;vienna;wien;1724381;vienna0;48.20849;16.37208;1;186
Vientiane;Laos;vientiane;vientiane;237300;vientiane0;17.96667;102.6;1;187
Vilnius;Lithuania;vilnius;vilnius;542932;vilnius0;54.68916;25.2798;1;188
Warsaw;Poland;warsaw;warsaw;1716855;warsaw0;52.22977;21.01178;1;189
Washington;United States;washington;washington;601723;washington0;38.9;-77.04;1;190
Wellington;New Zealand;wellington;wellington;199200;wellington0;-41.28664;174.77557;1;191
Windhoek;Namibia;windhoek;windhoek;315932;windhoek0;-22.55941;17.08323;1;192
Yamoussoukro;Cote d'Ivoire;yamoussoukro;yamoussoukro;194530;yamoussoukro0;6.82;-5.28;1;193
Yaounde;Cameroon;yaounde;yaounde;1817524;yaounde0;3.86667;11.51667;1;194
Yaren;Nauru;yaren;yaren;747;yaren0;-0.55;166.92;1;195
Yerevan;Armenia;yerevan;yerevan;1121900;yerevan0;40.18111;44.51361;1;196
Zagreb;Croatia;zagreb;zagreb;686568;zagreb0;45.8;15.97;1;197
